trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_4.stopped,polygon_2.stopped,a_card.started,a_card.stopped,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,
85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.1638329999987,300.6692569000006,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.16368720002356,302.6686344000045,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.16375040001003,304.669015499996,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
88,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.163324299996,306.66904360000626,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.16314990000683,308.6692101000226,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
90,0,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.16288079999504,310.66832720002276,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
91,0,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.16263390000677,312.668556300021,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
92,0,92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.162429500022,314.6681485000008,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
93,0,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.1622137000086,316.6722795999958,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
94,0,94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.1620537000126,318.6677630000049,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
95,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.16189350001514,320.66422100001364,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
96,0,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.16164950001985,322.66693500001566,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
97,0,97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.1614142000035,324.66773270000704,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
98,0,98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.1612791000225,326.6671098000079,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
99,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.16103660000954,328.66671800002223,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
