trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,a_card.started,a_card.stopped,text_5.started,key_resp_4.started,participant,session,date,expName,psychopyVersion,frameRate,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,106.77144629997201,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,108.77027149999049,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,110.7700861999765,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,112.76997989998199,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,114.76970000000438,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,116.76947339996696,118.27623019996099,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,118.76928199996473,120.2768333000131,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,120.76914049999323,122.27620409999508,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,122.7690005999757,124.27477269998053,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,124.7687252999749,126.27594819996739,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,126.76850359997479,128.2753331999993,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,128.7682911999873,130.27484570001252,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,130.7681475999998,132.27532499999506,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,132.76796600001398,134.27571829996305,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,134.76775629998883,136.27516229997855,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,136.76837770000566,138.2743142999825,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,138.76776109996717,140.2747414999758,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,140.76671960001113,142.27328490000218,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,142.76691979996394,144.27377450000495,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,144.7667339000036,146.27560569997877,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
