trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_6.started,a_card.started,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,110.47683160001179,110.9817016000161,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,111.9793381000054,112.47926990000997,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,113.47741570000653,113.98109330001171,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,114.98004230001243,115.47936800000025,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,116.47739450001973,116.98130630000378,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,117.97843710001325,118.47861560000456,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,119.47520050001913,119.98157260002336,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,120.97804200000246,121.47912800000631,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,122.47476820001611,122.98093890000018,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,123.97810330000357,124.47933950001607,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
