trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,card_shown.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
100,0,100,0,,,,,,,,,,,,,,,,,,,191.327185800008,191.83005669998238,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
101,0,101,0,,,,,,,,,,,,,,,,,,,192.82533090002835,193.32715030002873,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
102,0,102,0,,,,,,,,,,,,,,,,,,,194.3295902000391,194.82762400002684,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
103,0,103,0,,,,,,,,,,,,,,,,,,,195.82812160003232,196.33006320003187,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
104,0,104,0,,,,,,,,,,,,,,,,,,,197.32484990003286,197.8307645000168,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
105,0,105,0,,,,,,,,,,,,,,,,,,,198.8256438000244,199.33305549999932,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
106,0,106,0,,,,,,,,,,,,,,,,,,,200.32745560002513,200.83039060002193,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
107,0,107,0,,,,,,,,,,,,,,,,,,,201.8269866000046,202.33211459999438,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
108,0,108,0,,,,,,,,,,,,,,,,,,,203.3280614000396,203.83045310003217,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
109,0,109,0,,,,,,,,,,,,,,,,,,,204.82481269998243,205.33244279999053,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
110,0,110,0,,,,,,,,,,,,,,,,,,,206.32720719999634,206.8306071999832,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
111,0,111,0,,,,,,,,,,,,,,,,,,,207.82529260002775,208.33109729998978,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
112,0,112,0,,,,,,,,,,,,,,,,,,,209.32580749999033,209.8278580000042,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
113,0,113,0,,,,,,,,,,,,,,,,,,,210.82831890002126,211.33028049999848,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
114,0,114,0,,,,,,,,,,,,,,,,,,,212.32493190001696,212.8276332000387,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
115,0,115,0,,,,,,,,,,,,,,,,,,,213.8288035999867,214.33027730003232,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
116,0,116,0,,,,,,,,,,,,,,,,,,,215.324955100019,215.83230380003806,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
117,0,117,0,,,,,,,,,,,,,,,,,,,216.82719119999092,217.32838110002922,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
118,0,118,0,,,,,,,,,,,,,,,,,,,218.32362480001757,218.8321231000009,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
119,0,119,0,,,,,,,,,,,,,,,,,,,219.82686100003775,220.32841850002296,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
120,0,120,0,,,,,,,,,,,,,,,,,,,221.3240071000182,221.83273590001045,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
121,0,121,0,,,,,,,,,,,,,,,,,,,222.82817659998545,223.33069370000158,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
122,0,122,0,,,,,,,,,,,,,,,,,,,224.32544129999587,224.82713940000394,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
123,0,123,0,,,,,,,,,,,,,,,,,,,225.82785519998288,226.32829129998572,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
124,0,124,0,,,,,,,,,,,,,,,,,,,227.32303929998307,227.83344399998896,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
125,0,125,0,,,,,,,,,,,,,,,,,,,228.82328230002895,229.3303912000265,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
126,0,126,0,,,,,,,,,,,,,,,,,,,230.3257579000201,230.83810390002327,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
127,0,127,0,,,,,,,,,,,,,,,,,,,231.82613679999486,232.32760590000544,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
128,0,128,0,,,,,,,,,,,,,,,,,,,233.32390020001912,233.83054580003954,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
129,0,129,0,,,,,,,,,,,,,,,,,,,234.82556379999733,235.328218700015,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
130,0,130,0,,,,,,,,,,,,,,,,,,,236.3236353000393,236.82935130002443,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
131,0,131,0,,,,,,,,,,,,,,,,,,,237.82420650002314,238.33136469998863,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
132,0,132,0,,,,,,,,,,,,,,,,,,,239.3264906000113,239.82801060000202,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
