trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
95,0,95,0,,,,,,,,,,,,,,,,,,,189.02628260001075,190.3302330000006,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
96,0,96,0,,,,,,,,,,,,,,,,,,,190.62395790001028,191.93067020000308,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
97,0,97,0,,,,,,,,,,,,,,,,,,,192.22348860000784,193.53045510000084,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
98,0,98,0,,,,,,,,,,,,,,,,,,,193.82346240000334,195.13107510001282,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
99,0,99,0,,,,,,,,,,,,,,,,,,,195.42356810001365,196.73066330001166,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
100,0,100,0,,,,,,,,,,,,,,,,,,,197.02333940000972,198.33036380000704,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
101,0,101,0,,,,,,,,,,,,,,,,,,,198.62325350000174,199.93057060000137,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
102,0,102,0,,,,,,,,,,,,,,,,,,,200.22307130000263,201.53053530000034,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
103,0,103,0,,,,,,,,,,,,,,,,,,,201.82279630000994,203.1291721000016,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
104,0,104,0,,,,,,,,,,,,,,,,,,,203.42264870001236,204.72937290000846,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
105,0,105,0,,,,,,,,,,,,,,,,,,,205.02252410000074,206.3286638000136,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
